Rank,Term,Score,Search term?,Category?
197,proc natl acad sci usa,10.61,n,
198,fatty acid,10.60,n,
199,ingestion rate,10.58,y,
200,size spectrum,10.33,y,
201,natl acad sci usa,10.20,n,
202,annual primary production,10.09,y,
202,phytoplankton peak biomass,10.09,y,
202,antarctic circumpolar current,10.09,n,
202,marine food web,10.09,y,
206,mineral nutrient,10.00,y,
206,indirect response,10.00,n,
206,high co2,10.00,n,
206,cell volume,10.00,y,
206,comparative analysis,10.00,n,
206,solid line,10.00,n,
206,experimental variable,10.00,n,
206,western dutch wadden sea,10.00,n,
206,specie composition,10.00,y,
206,organic material,10.00,y,
206,chl trend,10.00,n,chlorofyll
206,climate variability,10.00,y,
206,world ocean,10.00,y,
206,food availability,10.00,n,
206,marine microbe,10.00,y,
206,chlorophyll biomass,10.00,y,
206,input datum,10.00,n,
206,doc production,10.00,y,
224,p a c t s o n h e a,9.97,n,
224,l t h a n d t h e e,9.97,n,
226,marine environment,9.80,y,
227,ecosystem service,9.75,y,
228,community structure,9.67,y,
228,species composition,9.67,y,
230,state space approach,9.51,n,
230,photosynthetic carbon fixation,9.51,y,
230,biological carbon pump,9.51,y,
230,harmful algal bloom,9.51,y,
230,parallel food chain,9.51,n,
230,anthropogenic nutrient enrichment,9.51,y,
230,supplementary table s1,9.51,n,
230,drake passage water,9.51,n,
230,food web dynamic,9.51,y,
230,phytoplankton growth rate,9.51,y,
240,global change,9.50,y,
240,phytoplankton productivity,9.50,y,
240,community composition,9.50,y,
243,solar radiation,9.33,y,
244,n loading,9.25,y,
245,calcium carbonate,9.00,y,
245,empirical model,9.00,n,
245,elevated pco2,9.00,y,
245,algal community,9.00,y,
245,contemporary ocean,9.00,n,
245,cellular caco3,9.00,y,
245,marine organism,9.00,y,
245,seasonal cycle,9.00,n,
245,carbonic acid,9.00,y,
245,resource availability,9.00,n,
245,mean phytoplankton cell size,9.00,y,
245,mol photon,9.00,n,
245,supplementary information,9.00,n,
245,boca raton,9.00,n,
245,ph change,9.00,y,
245,la coru,9.00,n,
245,cil biomass,9.00,y,
245,biogeochemical process,9.00,y,
245,central norway,9.00,n,
245,coccosphere volume,9.00,n,
245,station aloha,9.00,n,
245,red tide,9.00,y,
245,nutrient ratio,9.00,y,
245,surface seawater,9.00,y,
269,la nina,8.89,y,
270,mesozooplankton biomass,8.80,y,
271,specific growth,8.71,y,
272,elemental composition,8.60,y,
273,initial algal size,8.59,n,
274,eastern north pacific,8.51,n,
274,carbon growth efficiency,8.51,y,
274,north atlantic oscillation,8.51,y,
277,food c,8.50,n,
278,vascular plant,8.40,n,
279,low ph,8.33,n,
280,m1 m2m3m4 m5m6m7,8.33,n,
281,resources control food web structure,8.29,n,
282,shetland islands,8.20,n,
282,plankton recorder,8.20,n,
284,inorganic c,8.00,y,
284,initial algal size distribution,8.00,n,
284,inverse method,8.00,n,
284,c flow,8.00,y,
284,ecosystem response,8.00,y,
284,planktonic bacteria,8.00,y,
284,heterotrophic nanoflagellate,8.00,y,
284,nutrient availability,8.00,y,
284,error bar,8.00,n,
284,european water framework directive,8.00,n,
284,chl change,8.00,n,
284,size structure,8.00,n,
284,percent contribution,8.00,n,
284,shelf region,8.00,y,
284,doc release,8.00,y,
284,human disturbance,8.00,y,
284,regression analysis,8.00,n,
284,experimental condition,8.00,n,
284,global sea surface temperature,8.00,y,
284,deep ocean,8.00,y,
284,elephant island,8.00,n,
284,steady state,8.00,n,
284,flow estimate,8.00,n,
284,low nutrient loading rate,8.00,n,
284,spring peak,8.00,y,
284,iron limitation,8.00,y,
284,cop biomass,8.00,y,
284,dashed line,8.00,n,
312,seawater carbonate chemistry,7.92,n,
312,net community production,7.92,y,
312,national research council,7.92,n,
312,general system theory,7.92,n,
312,toxic algal bloom,7.92,y,
312,natural plankton community,7.92,y,
312,coastal eutrophication problem,7.92,n,
312,central ocean gyre,7.92,n,
312,natural phytoplankton assemblage,7.92,n,
312,poc production rate,7.92,y,
312,normal nutrient input,7.92,n,
312,c h e,7.92,n,
312,low nutrient input,7.92,n,
312,complex food web,7.92,n,
312,acid leachable fe,7.92,n,
327,carbonate system,7.86,y,
328,eof mode,7.75,n,
328,coccolith mass,7.75,n,
330,polar front,7.67,n,
331,independent variable,7.57,n,
332,water framework directive,7.51,n,
333,water quality,7.50,y,
333,n/p ratio,7.50,y,
335,accumulation rate,7.33,y,
335,carbon production,7.33,y,
337,ribosomal protein,7.29,n,
338,ocean color,7.29,y,
339,peak biomass,7.25,y,
339,ocean ecosystem,7.25,y,
341,e a,7.11,n,
342,acid lugol,7.00,n,
342,sedimentary record,7.00,y,
342,m23 yr21,7.00,n,
342,physical process,7.00,y,
342,trophic interaction,7.00,y,
342,southern oscillation,7.00,y,
342,shallow water,7.00,y,
342,fossil fuel,7.00,y,
342,surface chlorophyll,7.00,y,
342,carbon biomass,7.00,y,
342,microbial ecology,7.00,y,
342,interannual variability,7.00,y,
342,ocean productivity,7.00,y,
342,bac production,7.00,n,
342,food supply,7.00,n,
342,climate system,7.00,y,
342,experimental design,7.00,n,
342,biomass accumulation,7.00,y,
342,volume ratio,7.00,n,
342,diatom bloom,7.00,y,
342,aquatic ecosystem,7.00,y,
342,cell ml21,7.00,n,
342,kirchman dl,7.00,n,
342,freshwater system,7.00,n,
342,marine water,7.00,y,
342,n2 fixation,7.00,y,
342,coastal upwelling,7.00,y,
342,biomass peak,7.00,y,
342,viral lysis,7.00,y,
342,lewis publisher,7.00,n,
342,co2 treatment,7.00,n,
342,global pp,7.00,y,
342,fe enrichment,7.00,n,
342,kemp pf,7.00,n,
342,glacial period,7.00,y,
342,microbial loop,7.00,y,
342,bacterial abundance,7.00,y,
342,skeletonema costatum,7.00,y,
342,undisturbed condition,7.00,n,
342,flow rate,7.00,y,
342,full rank,7.00,n,
383,e t a l s,6.97,n,
383,european regional seas ecosystem model,6.97,n,
385,atmospheric carbon dioxide,6.92,y,
385,particulate organic carbon,6.92,y,
385,state space plot,6.92,n,
385,nature climate change,6.92,n,
385,weddell sea water,6.92,n,
385,phytoplankton spring bloom,6.92,y,
385,food web component,6.92,y,
385,north pacific ocean,6.92,n,
385,nutrient loading gradient,6.92,n,
385,particulate organic matter,6.92,y,
385,surface ocean ph,6.92,y,
385,surface primary production,6.92,y,
397,first eof,6.80,n,
398,loading gradient,6.67,n,
398,conversion factor,6.67,n,
400,jan feb mar apr may jun jul aug sep oct,6.64,n,
400,o c e a n s s p e c,6.64,n,
402,population growth,6.60,y,
403,flow cytometry,6.50,n,
403,initial mesozooplankton,6.50,n,
403,pelagic ecosystem,6.50,y,
406,organic carbon content,6.34,y,
406,marine heterotrophic bacteria,6.34,y,
406,low growth rate,6.34,n,
406,food web biomass,6.34,y,
406,santa monica basin,6.34,n,
406,nutrient supply rate,6.34,y,
406,open ocean site,6.34,n,
406,global carbon cycle,6.34,y,
406,low copepod biomass,6.34,y,
406,comprehensive mesocosm experiment,6.34,n,
406,hawaii ocean time-series,6.34,n,
406,variable nutrient input,6.34,n,
406,photon flux density,6.34,y,
406,marine ecosystem health,6.34,y,
406,plymouth marine laboratory,6.34,n,
406,heterotrophic bacterial production,6.34,y,
406,homologous protein group,6.34,n,
406,heterotrophic plankton group,6.34,y,
406,natural iron enrichment,6.34,y,
406,scanning electron microscopy,6.34,n,
406,atlantic multidecadal oscillation,6.34,y,
406,little ice age,6.34,y,
406,supplementary table s2,6.34,n,
406,central scotia sea,6.34,n,
406,shallow mixed layer,6.34,y,
406,deep-sea res .,6.34,n,
406,bacterial growth rate,6.34,y,
406,pacific decadal oscillation,6.34,y,
406,algal-derived organic matter,6.34,y,
406,simple geometrical formula,6.34,n,
406,shallow coastal station,6.34,n,
406,liquid scintillation counting,6.34,n,
406,king george island,6.34,n,
439,nutrient release,6.33,y,
440,o n,6.23,n,
441,coastal zone color scanner,6.00,n,
441,south san francisco bay,6.00,n,
441,biological diversity,6.00,y,
441,polycarbonate filter,6.00,n,
441,par treatment,6.00,n,
441,20th century,6.00,n,
441,nutrient flux,6.00,y,
441,low latitude,6.00,n,
441,ultra-pure hno3,6.00,n,
441,anthropogenic co2,6.00,y,
441,cell carbon conversion factor,6.00,n,
441,ocean interior,6.00,y,
441,elemental ratio,6.00,y,
441,el nin,6.00,y,
441,future ocean,6.00,y,
441,von bertalanffy,6.00,n,
441,p flow,6.00,y,
441,poc ratio,6.00,n,
441,gephyrocapsa oceanica,6.00,n,
441,coastal region,6.00,y,
441,amino acid,6.00,n,
441,mm c,6.00,n,
441,pressure change,6.00,n,
441,continuous plankton recorder survey,6.00,n,
441,north pacific gyre oscillation,6.00,y,
441,hong kong,6.00,n,
441,plankton group,6.00,y,
441,biological process,6.00,y,
441,seasonal pattern,6.00,y,
441,ecological system,6.00,y,
441,hydroxycarboxylic acid,6.00,n,
441,environmental status,6.00,y,
441,seasonal change,6.00,y,
441,ecosystem change,6.00,y,
441,chl-a fluorescence,6.00,n,
441,seawater carbonate system parameter,6.00,n,
441,nutrient-enriched coastal planktonic community,6.00,n,
441,simplified planktonic food web,6.00,n,
441,supplementary fig.s2,6.00,n,
441,water depth,6.00,n,
441,past decade,6.00,n,
441,south shetland islands area,6.00,n,
441,response diversity,6.00,n,
441,respective nutrient loading rate,6.00,n,
441,trophic transfer,6.00,y,
441,particulate c,6.00,y,
441,cloud cover,6.00,y,
441,environmental condition,6.00,y,
441,oxygen consumption,6.00,y,
441,ph unit,6.00,n,
441,letelier rm,6.00,n,
441,sloppy feeding,6.00,n,
441,drifter track,6.00,n,
441,secchi depth,6.00,y,
441,systemic view,6.00,n,
441,metazoan zooplankton,6.00,y,
441,ecosystem component,6.00,y,
441,acc water,6.00,n,
441,plankton biomass,6.00,y,
441,primary response,6.00,,
441,biological pump,6.00,y,
502,surface water flow,5.92,n,
503,food particle,5.75,,
504,turner designs,5.67,,
504,ecological status,5.67,,
504,coastal survey,5.67,,
504,partial pressure,5.67,,
508,low nutrient loading,5.51,,
509,environmental change,5.50,,
509,principal component,5.50,,
509,heterotrophic plankton,5.50,,
512,glass fibre filter,5.34,,
512,open ocean ecosystem,5.34,,
512,candidate independent variable,5.34,,
512,seagrass halodule wrightii,5.34,,
512,e n t,5.34,,
512,carbon release rate,5.34,y,
512,deep chlorophyll maximum,5.34,,
512,food web productivity,5.34,y,
512,mineral p limitation,5.34,y,
512,southeastern tropical pacific,5.34,,
512,upper water column,5.34,,
512,alternative trophic cascade,5.34,,
512,eof spatial pattern,5.34,,
525,mississippi river,5.33,,
526,size distribution,5.25,y,
527,resource availability shift food web structure,5.17,,
527,a l s e c t,5.17,,
529,specific ingestion rate,5.14,,
530,laguna madre,5.00,,
530,absolute rate,5.00,,
530,community respiration,5.00,,
530,ecosystem process,5.00,y,
530,data s2,5.00,,
530,seasonal variation,5.00,,
530,southern california,5.00,,
530,standard error,5.00,,
530,satellite datum,5.00,,
530,open ocean subtropical gyre,5.00,,
530,figure 1a,5.00,,
530,consumer control,5.00,,
530,marine copepod,5.00,y,
530,remote sensing,5.00,,
530,explicit recognition,5.00,,
530,reverse filtration,5.00,,
530,figure 3a,5.00,,
530,biogeochemical cycling,5.00,y,
530,phytoplankton peak,5.00,,
530,factor light,5.00,,
530,algal size,5.00,y,
530,multivariate analysis,5.00,,
530,average contribution,5.00,,
530,aeolian flux,5.00,,
530,group-specific regression,5.00,,
530,spatial scale,5.00,,
530,ramberg sampler,5.00,,
530,hnp biomass,5.00,,
530,carbon ingestion,5.00,y,
530,southern region,5.00,,
530,top-down control,5.00,,
530,irish sea,5.00,,
530,natural environment research council,5.00,,
530,ecosystem condition,5.00,,
530,hnlc region,5.00,,
530,p budget,5.00,y,
530,nutrient cycling,5.00,y,
530,laboratory experiment,5.00,,
530,particulate matter,5.00,y,
530,pelagic water,5.00,,
530,water body,5.00,,
530,heterotrophic nanoplankton,5.00,y,
530,numerical model,5.00,,
530,gf/f filter,5.00,,
530,organic nitrogen,5.00,y,
530,consumer biomass,5.00,,
530,physiological response,5.00,y,
530,north shields,5.00,,
530,milli-q water,5.00,,
530,high-co2 microcosm,5.00,,
530,minimum estimate,5.00,,
530,cop group,5.00,,
530,ecological response,5.00,y,
530,scalar distance,5.00,,
530,south atlantic,5.00,,
530,special feature,5.00,,
530,pco2 treatment,5.00,,
530,oceanic phytoplankton,5.00,,
530,light stress,5.00,y,
530,uptake rate,5.00,,
530,south georgia,5.00,,
530,phytoplankton abundance,5.00,y,
530,light exposure,5.00,,
530,bac substrate,5.00,,
530,regression model,5.00,,
530,specie diversity,5.00,y,
530,1si gradient,5.00,,
530,complex system,5.00,,
530,carbon flux,5.00,y,
530,datum point,5.00,,
530,autotrophic group,5.00,,
530,long-term change,5.00,,
530,heterotrophic process,5.00,,
530,principal mode,5.00,,
530,water transparency,5.00,,
530,table s5,5.00,,
530,biotic community,5.00,,
530,negative correlation,5.00,,
530,human health,5.00,,
530,marine science,5.00,,
530,inorganic nitrogen,5.00,,
530,p resource,5.00,,
530,natural variability,5.00,,
530,balanced n,5.00,,
530,p content,5.00,,
530,kittiwake datum,5.00,,
530,feeding rate,5.00,,
530,scale length,5.00,,
530,food source,5.00,,
530,phytoplankton response,5.00,y,
530,bermuda atlantic time-series study,5.00,,
530,phytoplankton trend,5.00,,
530,past century,5.00,,
530,indigestible fraction,5.00,,
530,fe demand,5.00,,
530,oxygenic photosynthesis,5.00,,
530,p. tricornutum,5.00,,
530,south america,5.00,,
530,high-co2-grown cell,5.00,,
629,western pacific,4.86,,
630,low light,4.80,,
631,toc accumulation rate,4.75,,
631,benthic suspension feeder,4.75,,
631,ultra-pure ammonium acetate,4.75,,
631,summer sea ice,4.75,,
631,marine fish larva,4.75,,
631,initial phytoplankton biomass,4.75,,
631,south orkney islands,4.75,,
631,organic matter production,4.75,,
631,phytoplankton biomass peak,4.75,,
631,detrital particulate c,4.75,y,
631,european coastal water,4.75,,
631,state space diagram,4.75,,
631,flow network reconstruction,4.75,,
631,p-based growth efficiency,4.75,,
631,vertical dotted line,4.75,,
631,variable nutrient dose,4.75,,
631,northern adriatic sea,4.75,,
631,amlr survey area,4.75,y,"defecation, faeces, feces"
631,incident solar par,4.75,,
631,global ocean chlorophyll,4.75,,
631,n v i r o n,4.75,,
631,toxic phytoplankton bloom,4.75,,
631,nutrient release rate,4.75,,
631,single exponential fit,4.75,,
631,copepod acartia tonsa,4.75,,
631,copepod log ratio,4.75,,
631,limnetic bacterial community,4.75,,
631,incident solar radiation,4.75,,
631,western tropical pacific,4.75,,
631,phytoplankton spring peak,4.75,,
631,coccolithophore emiliania huxleyi,4.75,,
631,mesohaline chesapeake bay,4.75,,
631,chl-a production rate,4.75,,
631,enthusiastic project participant,4.75,,
631,traditional budget calculation,4.75,,
631,supplementary table s5,4.75,,
631,supplementary table s3,4.75,,
631,bacterivorous monas sp,4.75,,
631,anthropogenic co2 release,4.75,,
631,central area width,4.75,,
631,state space method,4.75,,
631,three-link trophic cascade,4.75,,
631,normal nutrient supply,4.75,,
631,food web analysis,4.75,,
631,future co2 scenario,4.75,,
631,drake passage station,4.75,,
631,organic carbon production,4.75,,
631,shackleton transverse ridge,4.75,,
631,metazoan zooplankton-mediated carbon,4.75,,
631,northwestern north sea,4.75,,
631,food c availability,4.75,,
631,final scientific treatment,4.75,,
631,coccolithophorid emiliania huxleyi,4.75,,
631,mean instantaneous rate,4.75,,
631,marine nitrogen cycle,4.75,,
631,ciliate regression model,4.75,,
631,winter ice edge,4.75,,
688,chl anomaly,4.75,,
688,atlantic ocean,4.75,,
690,ocean transparency,4.67,,
690,solar par,4.67,,
692,european marine strategy framework directive,4.64,,
692,joint global ocean flux study,4.64,,
692,south shetland islands-antarctic peninsula region,4.64,,
692,chloroplastic 30s ribosomal protein s7,4.64,,
692,trondheim marine systems research infrastructure,4.64,,
692,monterey bay aquarium research institute,4.64,,
698,coccolithophore specie,4.60,,
698,enrichment experiment,4.60,,
700,marine pp,4.50,,
700,group e,4.50,,
700,p loading,4.50,,
700,copepod density,4.50,,
700,northern wap,4.50,,
705,table s2,4.40,,
706,water flow pattern,4.34,,
706,co2 partial pressure,4.34,,
708,decadal oscillation,4.33,,
708,summer situation,4.33,,
710,net annual water column primary production,4.17,,
711,spatial connectivity,4.00,,
711,ocean warming,4.00,,
711,bac biomass,4.00,,
711,scientific community,4.00,,
711,food-web structure,4.00,,
711,light limitation,4.00,,
711,pco2 condition,4.00,,
711,low fe,4.00,,
711,mesocosm community,4.00,,
711,smooth function,4.00,,
711,mesohaline san francisco bay,4.00,,
711,s. costatum,4.00,,
711,photic zone,4.00,,
711,low rate,4.00,,
711,warming trend,4.00,,
711,ocean variability,4.00,,
711,hydrogen ion,4.00,,
711,photosynthetic production,4.00,,
711,external pressure,4.00,,
711,southern subregion,4.00,,
711,t. pseudonana,4.00,,
711,lagoon system,4.00,,
711,vertical mixing,4.00,,
711,surface water flow pattern,4.00,,
711,co2-enriched air,4.00,,
711,suspension feeder,4.00,,
711,trace element,4.00,,
711,system-level response,4.00,,
711,danish estuary,4.00,,
711,linear trend sst anomaly,4.00,,
711,chemical composition,4.00,,
711,bac group,4.00,,
711,autotrophic food,4.00,,
711,nonindigenous specie,4.00,,
711,leucine incorporation,4.00,,
711,nitrogen cycle,4.00,,
711,fish larva,4.00,,
711,coastal ne atlantic water,4.00,,
711,long time-sery,4.00,,
711,epifluorescence microscopy,4.00,,
711,10u cell,4.00,,
711,open symbol,4.00,,
711,station e606,4.00,,
711,anonymous reviewer,4.00,,
711,detrital particulate,4.00,,
711,initial dominance,4.00,,
711,general estuarine transport model,4.00,,
711,mm co2,4.00,,
711,nutrient regime,4.00,,
711,inverse relationship,4.00,,
711,standard deviation,4.00,,
711,cariaco basin,4.00,,
711,interannual variation,4.00,,
711,maximum c growth efficiency,4.00,,
711,tropical pacific climate change,4.00,,
711,continental margin,4.00,,
711,pelagic system,4.00,,
711,moderate nutrient loading rate,4.00,,
711,microbial activity,4.00,,
711,metabolic balance,4.00,,
711,toxic contaminant,4.00,,
711,benthic invertebrate,4.00,,
711,low temperature,4.00,,
711,e-se asia,4.00,,
711,mechanistic understanding,4.00,,
711,p uptake,4.00,,
711,confidence interval,4.00,,
711,net haul,4.00,,
711,limnetic system,4.00,,
711,low range,4.00,,
711,bac origin,4.00,,
711,microzooplankton biomass,4.00,,
711,vertical flux,4.00,,
711,sediment core,4.00,,
711,regional trend,4.00,,
711,central portion,4.00,,
711,autotrophic plankton,4.00,,
711,bacterial metabolism,4.00,,
711,secondary production,4.00,,
711,planktonic biota,4.00,,
711,ocean chlorophyll,4.00,,
711,solar irradiance,4.00,,
711,equatorial paci,4.00,,
711,aquatic microbial food web,4.00,,
711,phytoplank- ton,4.00,,
711,iron availability,4.00,,
711,respective n,4.00,,
711,nutrient uptake,4.00,,
711,carbonate ion,4.00,,
711,biogenic silica,4.00,,
711,fig.1 inset,4.00,,
711,autotrophic picoplankton,4.00,,
711,nutrient budget,4.00,,
711,emiliania huxleyi strain nzeh,4.00,,
711,response pattern,4.00,,
711,biotic component,4.00,,
711,calanus spp,4.00,,
711,respective food production rate,4.00,,
711,thalassiosira pseudonana,4.00,,
711,overwintering copepod,4.00,,
711,flow network construction process,4.00,,
711,mesoscale eddy,4.00,,
711,antarctic ocean,4.00,,
711,bacterial cell,4.00,,
711,western pacific warm pool,4.00,,
711,coastal planktonic food web,4.00,,
711,ecosystem structure,4.00,,
711,algal production,4.00,,
711,statistical analysis,4.00,,
711,climate-driven basin-scale decadal oscillation,4.00,,
711,nutrient resource,4.00,,
711,four-link chain,4.00,,
711,northern gulf,4.00,,
711,physical driver,4.00,,
711,functional-group diversity,4.00,,
711,incubation experiment,4.00,,
711,temperature regression,4.00,,
711,pe bag,4.00,,
711,thermal stratification,4.00,,
711,dip uptake,4.00,,
711,particulate fraction,4.00,,
711,northeast atlantic,4.00,,
711,north sea phytoplankton biomass,4.00,,
711,incident surface solar par,4.00,,
711,heterotrophic organism,4.00,,
711,landscape metaphor,4.00,,
711,atmospheric co2 partial pressure,4.00,,
711,net release,4.00,,
711,surface area,4.00,,
711,organic nutrient,4.00,,
711,present-day ocean,4.00,,
711,chlorophyll anomaly,4.00,,
711,chl-a synthesis,4.00,,
711,anthropogenic pressure,4.00,,
711,positive relationship,4.00,,
711,three-link chain,4.00,,
711,bac uptake,4.00,,
711,enfield db,4.00,,
711,satellite ocean color observation,4.00,,
711,pro- duction,4.00,,
711,culture medium,4.00,,
711,vitamin k2,4.00,,
711,copepod nauplius,4.00,,
711,rapid change,4.00,,
711,benthic community,4.00,,
711,positive feedback,4.00,,
711,algal development,4.00,,
711,tomales bay,4.00,,
711,lake eutrophication,4.00,,
711,marine heterotrophic planktonic bacteria,4.00,,
711,decadal-scale trend,4.00,,
711,bicarbonate ion,4.00,,
711,negative feedback,4.00,,
711,phaeodactylum tricornutum,4.00,,
711,phylogenetic diversity,4.00,,
711,c uptake,4.00,,
711,size range,4.00,,
711,southern wap,4.00,,
711,trophic structure,4.00,,
711,mechanistic model,4.00,,
711,terrestrial ecosystem,4.00,,
711,fast repetition rate technique,4.00,,
711,p release,4.00,,
711,temporal offset,4.00,,
711,sea-viewing wide field-of-view sensor,4.00,,
711,planktonic algae,4.00,,
711,shallow station,4.00,,
711,global analysis,4.00,,
711,north america,4.00,,
711,planktonic system,4.00,,
711,global marine primary production,4.00,,
711,incubation carboy,4.00,,
711,ln l,4.00,,
711,phytoplankton decline,4.00,,
711,di lorenzo,4.00,,
711,low chl-a,4.00,,
711,english channel,4.00,,
711,average mass,4.00,,
711,complex suite,4.00,,
711,maximum estimate,4.00,,
711,southern ocean iron experiment,4.00,,
